INDEX,,,5. EMPLOYMENT: Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2012, the classification used for SBS is NACE Rev. 2.
2/ Includes all enterprises classified in NACE 55 and 56 of NACE Rev. 2.
3/ Includes all enterprises classified in NACE 49, 50 or 51 of NACE Rev. 2.
4/ Includes all enterprises classified in NACE 79 of NACE Rev. 2.",,,,,,,,,,,
8,5.1,8-5.1,,,Total,,,Thousands,1/,..,..,..,..,..,..,..,..,..,15.0,15.6,16.7,18.4,17.5,18.7,22.0,22.7,21.4,25.3,26.7,29.0,39.2,43.6,46.7,52.0,42.4,43.5,..,,,,,,,,,,,,
8,5.2,8-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,2/,..,..,..,..,..,..,..,..,..,8.0,8.5,9.6,10.5,9.2,10.6,11.9,13.3,14.7,18.0,19.4,21.8,30.0,33.4,35.6,40.7,32.6,32.9,..,,,,,,,,,,,,
8,5.3,8-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
8,5.4,8-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
8,5.5,8-5.5,,,,Passenger transportation,,Thousands,3/,..,..,..,..,..,..,..,..,..,4.4,4.4,4.3,4.9,5.3,5.1,5.9,5.1,5.9,6.4,6.2,6.2,7.7,8.3,9.2,8.7,8.1,8.5,..,,,,,,,,,,,,
8,5.6,8-5.6,,,,Travel agencies and other reservation services activities,,Thousands,4/,..,..,..,..,..,..,..,..,..,2.6,2.7,2.8,3.0,3.0,3.0,4.2,4.3,0.8,0.9,1.1,1.0,1.5,1.9,1.9,2.6,1.7,2.1,..,,,,,,,,,,,,
8,5.7,8-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 2019: estimate.,,,,,,,,,,,
12,5.1,12-5.1,,,Total,,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,230.0,270.0,300.0,308.0,320.0,..,..,..,,,,,,,,,,,,
12,5.2,12-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
12,5.3,12-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
12,5.4,12-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
12,5.5,12-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
12,5.6,12-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
12,5.7,12-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5.1,16-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,5.2,16-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,5.3,16-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,5.4,16-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,5.5,16-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,5.6,16-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
16,5.7,16-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.1,20-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,5.2,20-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,5.3,20-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,5.4,20-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,5.5,20-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,5.6,20-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
20,5.7,20-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.1,24-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,72.1,102.7,134.6,138.9,145.6,158.0,173.5,202.8,219.3,221.0,223.0,354.9,215.5,181.0,183.0,192.0,,,,,,,,,,,,
24,5.2,24-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,33.5,46.2,70.4,72.6,72.1,78.7,84.1,89.0,92.3,93.0,94.0,161.0,107.2,102.0,90.0,92.0,,,,,,,,,,,,
24,5.3,24-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
24,5.4,24-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,35.7,48.6,54.3,55.9,61.3,65.7,74.8,98.5,104.0,105.0,106.0,169.0,55.4,76.0,91.0,96.0,,,,,,,,,,,,
24,5.5,24-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
24,5.6,24-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,3.0,7.9,9.9,10.3,12.2,13.5,14.5,15.3,23.0,23.0,23.0,24.9,52.9,3.0,2.0,4.0,,,,,,,,,,,,
24,5.7,24-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,5.1,660-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,5.2,660-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,5.3,660-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,5.4,660-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,5.5,660-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,5.6,660-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
660,5.7,660-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5.1,28-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,5.2,28-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,5.3,28-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,5.4,28-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,5.5,28-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,5.6,28-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
28,5.7,28-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5.1,32-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,994.6,989.9,"1,002.5","1,061.7","1,013.9",..,"1,246.2","1,273.9","1,271.2","1,259.6",..,..,..,,,,,,,,,,,,
