INDEX,,,3. OUTBOUND TOURISM: Tourism expenditure in other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
32,3.4,32-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"4,013","4,449","4,973","5,282","5,228","5,460","4,888","2,744","2,997","3,208","3,554","4,047","5,077","5,987","5,808","6,448","7,602","8,466","8,421","7,837","9,348","12,273","14,180","13,084","9,845","3,296","1,867","7,410","1/  Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
32,3.5,32-3.5,,,Travel,,,US$ Millions,1/,IMF,"3,278","3,584","3,962","4,230","4,195","4,425","3,893","2,328","2,511","2,604","2,790","3,108","3,935","4,586","4,536","4,951","5,667","6,117","5,932","5,983","6,982","9,679","11,378","10,670","7,850","2,890","1,357","5,566",
32,3.6,32-3.6,,,Passenger transport,,,US$ Millions,,IMF,735,865,"1,011","1,052","1,033","1,035",995,416,486,604,764,939,"1,142","1,401","1,272","1,497","1,935","2,349","2,489","1,854","2,366","2,594","2,802","2,414","1,995",406,510,"1,844",
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.4,51-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,12,26,45,55,51,56,59,85,97,199,255,300,430,494,496,641,756,874,"1,007","1,101","1,057","1,033","1,218","1,335","1,543",301,514,"1,378",
51,3.5,51-3.5,,,Travel,,,US$ Millions,,IMF,3,22,41,41,37,40,40,54,67,162,207,265,379,435,443,579,687,803,930,"1,024",996,981,"1,163","1,282","1,489",278,466,"1,297",
51,3.6,51-3.6,,,Passenger transport,,,US$ Millions,,IMF,9,4,4,14,14,16,19,31,30,37,48,35,51,59,53,62,69,71,77,77,61,52,55,53,54,23,48,81,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,3.4,533-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,79,128,161,140,151,163,156,172,213,248,250,241,270,272,264,261,287,294,342,350,357,319,349,394,399,285,339,393,
533,3.5,533-3.5,,,Travel,,,US$ Millions,,IMF,73,120,156,135,140,146,135,159,188,218,226,218,251,250,243,243,269,275,320,329,342,319,349,381,389,281,333,384,
533,3.6,533-3.6,,,Passenger transport,,,US$ Millions,,IMF,6,8,5,5,11,17,21,13,25,30,24,23,19,22,21,18,18,19,22,21,15,..,..,13,10,4,6,8,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.4,36-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"7,605","8,545","8,880","8,307","8,798","9,065","8,184","8,640","10,434","14,702","16,153","17,293","22,052","25,557","22,680","27,851","33,967","35,226","40,732","38,827","34,071","35,718","39,093","42,864","40,089","7,754","1,995","20,227",
36,3.5,36-3.5,,,Travel,,,US$ Millions,,IMF,"5,165","5,920","6,261","5,930","6,181","6,388","5,735","5,963","7,337","10,667","11,749","12,537","16,454","19,617","18,738","22,558","27,371","28,078","34,110","33,284","29,190","30,839","33,852","37,379","34,712","6,583","1,170","16,087",
36,3.6,36-3.6,,,Passenger transport,,,US$ Millions,,IMF,"2,440","2,625","2,619","2,377","2,617","2,677","2,449","2,677","3,097","4,035","4,404","4,756","5,598","5,940","3,942","5,293","6,596","7,148","6,622","5,543","4,881","4,879","5,240","5,485","5,377","1,171",825,"4,140",
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.4,40-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"11,686","11,777","10,672","10,399","7,517","7,001","7,408","7,743","9,761","10,812","11,077",..,..,..,..,..,..,..,..,..,"11,337","11,634","12,878","14,110","13,991","5,157","8,245","11,466",
40,3.5,40-3.5,,,Travel,,,US$ Millions,,IMF,"10,887","11,015","10,062","9,581","6,727","6,232","6,579","6,901","8,623","9,237","9,316","9,628","10,559","11,438","10,826","10,120","10,556","9,987","10,253","11,095","9,329","9,772","10,768","11,793","11,589","4,484","7,351","11,466",
40,3.6,40-3.6,,,Passenger transport,,,US$ Millions,,IMF,799,762,610,818,790,769,829,842,"1,138","1,575","1,761",..,..,..,..,..,..,..,..,..,"2,008","1,862","2,110","2,317","2,402",673,894,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3.4,31-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,165,115,193,181,149,138,119,110,120,140,188,256,381,456,488,856,"1,778","2,617","3,032","3,163","2,743","2,593","2,803","2,453","1,839",439,655,"1,062",
31,3.5,31-3.5,,,Travel,,,US$ Millions,,IMF,146,100,186,170,139,132,109,105,111,126,164,201,264,343,406,782,"1,689","2,477","2,877","3,008","2,603","2,494","2,658","2,284","1,702",412,562,893,
31,3.6,31-3.6,,,Passenger transport,,,US$ Millions,,IMF,19,15,7,11,10,6,10,5,9,14,24,55,117,113,82,74,89,140,155,155,140,99,145,169,137,27,93,170,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3.4,44-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,241,279,310,310,310,348,342,338,404,469,528,541,538,460,386,369,347,384,362,328,347,440,554,519,514,167,253,331,
44,3.5,44-3.5,,,Travel,,,US$ Millions,,IMF,213,235,250,256,276,261,256,244,305,316,344,385,377,305,240,228,246,286,262,212,238,329,371,332,335,110,149,170,
44,3.6,44-3.6,,,Passenger transport,,,US$ Millions,,IMF,28,44,60,54,34,87,86,94,99,153,184,156,161,155,146,141,101,98,100,116,109,111,183,187,179,57,104,161,
