INDEX,,,3. OUTBOUND TOURISM: Tourism expenditure in other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
132,3.6,132-3.6,,,Passenger transport,,,US$ Millions,,IMF,4,6,8,8,6,5,8,7,16,15,15,24,16,10,9,9,10,8,7,5,8,8,22,22,20,11,16,14,
116,0,116-0,CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3.4,116-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,22,31,28,35,41,52,59,64,60,80,137,176,194,180,163,131,344,406,469,527,641,762,919,"1,080","1,162",213,54,535,
116,3.5,116-3.5,,,Travel,,,US$ Millions,,IMF,8,15,13,25,28,33,37,38,36,48,96,122,123,97,104,61,264,314,355,401,510,616,741,863,911,169,49,482,
116,3.6,116-3.6,,,Passenger transport,,,US$ Millions,,IMF,14,16,15,10,13,19,22,26,24,32,41,54,71,83,59,70,80,92,114,126,131,146,178,217,251,44,5,53,
120,0,120-0,CAMEROON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,3.4,120-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,140,155,175,210,192,241,199,205,272,394,480,521,466,563,476,265,622,668,795,830,742,818,845,915,984,697,830,722,
120,3.5,120-3.5,,,Travel,,,US$ Millions,,IMF,105,134,136,160,152,205,160,171,171,323,355,412,368,410,389,186,529,518,612,630,568,615,635,688,749,553,685,564,
120,3.6,120-3.6,,,Passenger transport,,,US$ Millions,,IMF,35,21,39,50,40,36,39,34,101,71,125,109,98,153,87,79,93,150,183,200,174,203,210,227,235,144,145,158,
124,0,124-0,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,3.4,124-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"12,658","13,815","14,151","13,384","13,999","15,125","14,634","14,257","16,309","19,267","22,746","26,068","31,101","33,843","30,225","37,225","41,247",..,..,..,..,..,..,..,..,..,..,..,
124,3.5,124-3.5,,,Travel,,,US$ Millions,,IMF,"10,260","11,254","11,480","10,849","11,499","12,438","11,961","11,722","13,337","15,524","18,027","20,616","24,643","27,225","24,190","29,977","33,399","37,152","37,886","37,670","33,961","32,712","34,644","34,585","35,342","12,078","7,871","24,680",
124,3.6,124-3.6,,,Passenger transport,,,US$ Millions,,IMF,"2,398","2,561","2,671","2,535","2,500","2,687","2,673","2,535","2,972","3,743","4,719","5,452","6,458","6,618","6,035","7,248","7,848",..,..,..,..,..,..,..,..,..,..,..,
136,0,136-0,CAYMAN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,3.4,136-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,IMF,..,..,..,..,..,..,..,..,..,..,..,164,132,130,120,129,145,183,192,168,191,194,271,284,299,161,155,..,1/ 1995-2015: country data.
136,3.5,136-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,194,206,214,227,147,141,..,
136,3.6,136-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,70,72,14,14,..,
140,0,140-0,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,3.4,140-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,CB,43,44,51,44,33,33,29,29,31,32,46,47,54,56,61,67,68,69,96,92,70,158,190,169,201,174,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)"". 2003, 2004, 2009-2013: country data."
140,3.5,140-3.5,,,Travel,,,US$ Millions,1/,CB,..,..,..,..,..,..,..,..,..,31,44,44,48,49,52,49,50,50,87,82,61,151,185,163,196,165,..,..,
140,3.6,140-3.6,,,Passenger transport,,,US$ Millions,1/,CB,..,..,..,..,..,..,..,..,..,1,2,3,6,7,9,18,18,19,9,10,9,7,5,6,5,9,..,..,
148,0,148-0,CHAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,3.4,148-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,CB,38,49,53,66,53,56,56,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
148,3.5,148-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
148,3.6,148-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
152,0,152-0,CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,3.4,152-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,934,977,"1,132","1,174","1,032",904,939,932,"1,109","1,251","1,114","1,238","1,408","1,386","1,511","1,736","2,085","2,469","2,566","2,763","2,562","2,778","3,135","3,170","3,177",744,570,"2,333",
152,3.5,152-3.5,,,Travel,,,US$ Millions,,IMF,703,736,839,888,752,620,708,673,850,977,810,904,"1,026",994,"1,174","1,313","1,663","1,882","1,914","2,124","1,987","2,153","2,329","2,393","2,459",539,303,"1,718",
152,3.6,152-3.6,,,Passenger transport,,,US$ Millions,,IMF,231,241,293,286,280,284,231,259,259,274,304,334,382,392,337,423,422,587,652,639,575,625,806,777,718,205,266,614,
156,0,156-0,CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,3.4,156-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,"9,220","9,943","11,621","14,169","14,992","16,759","16,716","21,360",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
156,3.5,156-3.5,,,Travel,,,US$ Millions,,IMF,"3,688","4,474","8,130","9,205","10,864","13,114","13,909","15,398","15,187","19,149","21,759","24,322","29,786","36,157","43,702","54,880","72,585","101,977","128,576","227,344","249,831","250,112","257,875","277,265","254,621","131,050","109,389","114,795",
156,3.6,156-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,"1,090",738,757,"1,055","1,083","1,361","1,529","2,211",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
170,0,170-0,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,3.4,170-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"1,162","1,431","1,560","1,455","1,339","1,452","1,556","1,355","1,349","1,543","1,934","2,171","2,501","2,819","2,841","3,228","3,689","4,461","4,592","5,299","4,890","4,891","5,136","5,531","5,658","1,540","2,991","5,012",
170,3.5,170-3.5,,,Travel,,,US$ Millions,,IMF,878,"1,117","1,209","1,120","1,013","1,060","1,164","1,075","1,062","1,185","1,499","1,690","1,904","2,177","2,252","2,641","3,032","3,626","3,941","4,683","4,318","4,254","4,475","4,784","4,935","1,358","2,602","4,276",
170,3.6,170-3.6,,,Passenger transport,,,US$ Millions,,IMF,284,314,351,335,326,392,392,280,287,358,435,481,597,642,589,587,657,835,651,616,572,637,661,747,723,182,389,736,
174,0,174-0,COMOROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,3.4,174-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,IMF,15,..,..,..,..,..,..,..,8,9,19,24,28,31,30,33,37,36,..,40,34,38,42,48,53,43,67,97,"1/ 1995, 2003, 2004: Banque centrale des Comores."
174,3.5,174-3.5,,,Travel,,,US$ Millions,,IMF,7,..,..,..,..,..,..,..,..,..,10,11,15,15,17,19,21,20,..,24,19,21,24,28,31,31,48,73,
174,3.6,174-3.6,,,Passenger transport,,,US$ Millions,,IMF,8,..,..,..,..,..,..,..,..,..,10,13,13,16,13,14,16,17,..,16,15,17,18,20,22,12,19,24,
178,0,178-0,CONGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,3.4,178-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,69,86,68,69,71,59,82,85,118,176,..,..,157,217,549,312,327,308,360,435,557,457,..,..,193,72,..,..,
178,3.5,178-3.5,,,Travel,,,US$ Millions,,IMF,52,78,65,54,63,50,65,70,78,103,112,132,91,84,378,211,223,173,204,257,324,251,..,..,48,32,..,..,
178,3.6,178-3.6,,,Passenger transport,,,US$ Millions,,IMF,17,8,3,15,8,9,17,15,40,73,..,..,66,133,171,101,104,135,156,178,233,206,..,..,145,40,..,..,
180,0,180-0,"CONGO, DEMOCRATIC REPUBLIC OF THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,3.4,180-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
180,3.5,180-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,54,93,109,127,121,150,298,108,170,283,127,60,68,115,96,204,219,..,
180,3.6,180-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,0,184-0,COOK ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,3.4,184-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,country,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,22,22,23,24,21,22,22,23,21,20,22,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
184,3.5,184-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,3.6,184-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
188,0,188-0,COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,3.4,188-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,336,357,401,466,509,545,430,427,484,530,591,647,825,753,500,629,620,647,649,657,898,"1,055","1,322","1,198","1,451",426,764,"1,175",
188,3.5,188-3.5,,,Travel,,,US$ Millions,,IMF,323,336,348,409,447,479,360,341,349,401,463,479,625,586,363,418,400,422,425,450,690,803,"1,044",838,"1,036",243,566,966,
188,3.6,188-3.6,,,Passenger transport,,,US$ Millions,,IMF,13,21,53,57,62,66,70,86,135,129,128,168,200,167,137,211,220,225,224,207,208,252,278,360,415,183,198,209,
384,0,384-0,COTE D´IVOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,3.4,384-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,312,347,317,331,337,291,289,490,551,571,549,583,606,612,589,569,580,560,583,625,560,491,564,625,628,324,422,..,
384,3.5,384-3.5,,,Travel,,,US$ Millions,,IMF,190,221,200,213,222,189,187,358,387,381,354,373,372,356,343,352,380,364,381,402,357,372,387,416,400,211,265,..,
384,3.6,384-3.6,,,Passenger transport,,,US$ Millions,,IMF,122,126,117,118,115,102,102,132,164,190,195,210,234,256,246,217,200,196,202,223,203,119,178,209,228,113,157,..,
191,0,191-0,CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,3.4,191-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,IMF,..,..,..,..,806,..,..,..,..,..,..,..,..,..,..,..,..,..,923,865,770,954,"1,410","1,741","1,811",789,"1,121","1,490","1/  The expenditure figures are those provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
191,3.5,191-3.5,,,Travel,,,US$ Millions,,IMF,422,510,530,600,751,566,606,779,675,848,755,736,985,"1,122","1,013",832,881,926,903,846,755,945,"1,369","1,693","1,764",775,"1,102","1,450",
191,3.6,191-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,55,..,..,..,..,..,..,..,..,..,..,..,..,..,20,19,15,9,41,48,47,14,19,40,
192,0,192-0,CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,3.4,192-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
192,3.5,192-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
192,3.6,192-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
535,0,535-0,CURAÇAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,3.4,535-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,IMF,..,..,..,..,..,..,..,137,176,195,164,191,223,229,258,282,321,357,377,383,419,428,447,452,411,127,73,484,1/ 1995-2006 source: Central Bank of the Netherlands Antilles.
535,3.5,535-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,203,203,209,226,267,278,299,310,346,359,370,384,341,102,37,426,
535,3.6,535-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,20,26,49,56,54,79,78,73,73,69,77,68,70,25,36,58,
196,0,196-0,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,3.4,196-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,473,500,511,536,560,543,568,582,700,907,"1,001","1,031","1,554","1,968","1,742","1,320","1,366","1,318","1,254","1,343","1,453","1,559","1,378","1,569","1,635",752,882,"1,342",
196,3.5,196-3.5,,,Travel,,,US$ Millions,,IMF,330,365,385,408,431,413,428,512,611,811,932,967,"1,479","1,666","1,405","1,320","1,366","1,318","1,254","1,343","1,080","1,120","1,378","1,569","1,635",752,882,"1,342",
196,3.6,196-3.6,,,Passenger transport,,,US$ Millions,,IMF,144,135,126,128,129,130,140,70,89,96,69,64,75,302,337,..,..,..,..,..,373,439,..,..,..,..,..,..,
203,0,203-0,CZECH REPUBLIC (CZECHIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,3.4,203-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,"1,797","2,177","2,682","2,603","2,874","3,895","5,029","4,336","4,354","4,876","4,556","4,698","5,173","4,819","4,962","5,533","6,074","6,034","3,447","3,278","5,017",
203,3.5,203-3.5,,,Travel,,,US$ Millions,,IMF,"1,635","2,960","2,355","1,908","1,493","1,276","1,386","1,597","1,934","2,280","2,405","2,765","3,768","4,884","4,255","4,252","4,789","4,472","4,637","5,133","4,772","4,920","5,465","5,972","5,889","3,382","3,231","4,951",
203,3.6,203-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,200,243,402,198,109,127,145,81,102,87,84,61,40,47,42,68,102,145,65,47,66,
208,0,208-0,DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,3.4,208-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source from 2005: VisitDenmark.
208,3.5,208-3.5,,,Travel,,,US$ Millions,1/,IMF,"4,288","4,140","4,194","4,577","4,899","4,669","4,861","5,838","6,659","7,279","6,850","7,486","8,830","9,698","8,968","9,082","9,840","9,600","10,072","10,443","8,918","9,174","9,804","10,538","10,002","5,522","7,439","8,453",
208,3.6,208-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
262,0,262-0,DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,3.4,262-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,16,17,17,16,12,15,13,8,10,14,14,15,14,16,18,21,34,30,..,..,..,..,..,..,..,..,..,..,
262,3.5,262-3.5,,,Travel,,,US$ Millions,,IMF,4,4,5,3,3,6,4,3,3,3,3,4,3,4,6,9,21,18,19,22,29,24,28,22,25,15,17,28,
262,3.6,262-3.6,,,Passenger transport,,,US$ Millions,,IMF,13,13,12,13,9,9,9,5,7,11,12,12,12,12,12,12,13,11,..,..,..,..,..,..,..,..,..,..,
212,0,212-0,DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,3.4,212-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,34,33,28,29,31,8,5,11,
212,3.5,212-3.5,,,Travel,,,US$ Millions,,IMF,6,7,7,8,9,9,9,9,9,9,10,10,11,11,13,13,12,12,13,26,22,23,19,20,20,6,4,4,
212,3.6,212-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,12,10,9,9,11,2,1,7,
214,0,214-0,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,3.4,214-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,267,313,339,380,391,440,425,429,408,448,511,495,531,532,523,662,689,690,679,717,803,882,940,"1,006","1,060",441,"1,095","1,545",
214,3.5,214-3.5,,,Travel,,,US$ Millions,,IMF,173,198,221,254,264,309,291,295,272,310,352,333,326,327,359,395,396,399,382,407,463,503,530,549,624,211,695,"1,019",
214,3.6,214-3.6,,,Passenger transport,,,US$ Millions,,IMF,94,115,118,126,127,131,134,134,136,138,159,162,205,205,164,267,293,291,297,310,340,379,410,457,436,230,400,526,
218,0,218-0,ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3.4,218-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,331,313,331,325,385,416,465,507,500,577,644,706,733,790,806,863,917,944,989,990,994,"1,454","1,463","1,523","1,649",533,914,"1,225",
218,3.5,218-3.5,,,Travel,,,US$ Millions,,IMF,235,219,227,241,271,299,340,364,354,391,429,466,504,542,549,568,594,611,623,635,639,"1,081","1,064","1,134","1,215",408,808,"1,072",
218,3.6,218-3.6,,,Passenger transport,,,US$ Millions,,IMF,96,94,104,84,114,117,125,143,146,186,215,240,229,248,257,295,323,333,366,355,355,373,399,389,434,125,106,153,
818,0,818-0,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,3.4,818-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"1,371","1,382","1,431","1,271","1,218","1,206","1,248","1,309","1,465","1,543","1,932","2,156","2,886","3,390","2,941","2,696","2,575","3,037","3,261","3,486","3,636","4,351","2,419","2,897","3,718","2,568","3,315","5,465",
818,3.5,818-3.5,,,Travel,,,US$ Millions,,IMF,"1,278","1,317","1,347","1,153","1,078","1,072","1,132","1,266","1,321","1,257","1,629","1,784","2,446","2,915","2,538","2,240","2,203","2,618","3,014","3,140","3,442","4,110","2,160","2,667","3,518","2,509","3,279","5,425",
818,3.6,818-3.6,,,Passenger transport,,,US$ Millions,,IMF,93,65,84,118,140,134,116,43,144,286,303,372,440,475,403,456,372,419,247,346,194,241,259,230,200,59,36,40,
222,0,222-0,EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,3.4,222-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,99,102,..,..,205,219,247,266,311,373,288,307,363,326,253,280,244,287,270,277,332,451,466,490,515,168,334,632,
222,3.5,222-3.5,,,Travel,,,US$ Millions,,IMF,72,73,153,179,169,165,195,191,229,292,206,224,278,241,187,219,203,261,242,248,294,412,418,443,482,148,283,577,
222,3.6,222-3.6,,,Passenger transport,,,US$ Millions,,IMF,27,29,..,..,36,54,52,75,82,81,82,83,85,85,66,61,41,26,28,29,38,39,48,47,33,20,51,55,
226,0,226-0,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,3.4,226-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,CB,7,13,7,7,8,19,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
226,3.5,226-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
226,3.6,226-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,0,232-0,ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,3.4,232-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,3.5,232-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,3.6,232-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
233,0,233-0,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,3.4,233-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,121,141,162,197,255,253,253,305,404,486,530,706,804,939,..,..,..,..,"1,236","1,346","1,169","1,299","1,395","1,647","1,808",679,800,"1,392",
233,3.5,233-3.5,,,Travel,,,US$ Millions,,IMF,91,101,120,155,215,204,192,231,319,399,439,586,670,809,605,633,806,796,"1,059","1,181","1,026","1,162","1,247","1,463","1,545",596,690,"1,165",
233,3.6,233-3.6,,,Passenger transport,,,US$ Millions,,IMF,30,40,42,42,40,49,61,74,85,87,91,120,134,130,..,..,..,..,177,165,143,137,148,184,263,83,110,227,
748,0,748-0,ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,3.4,748-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,45,44,40,60,35,32,31,..,23,54,60,54,63,59,98,87,35,53,48,62,64,33,74,43,35,36,42,56,
748,3.5,748-3.5,,,Travel,,,US$ Millions,,IMF,43,42,38,58,34,31,30,26,22,48,49,49,51,46,72,61,30,44,38,54,50,30,65,41,34,36,41,49,
748,3.6,748-3.6,,,Passenger transport,,,US$ Millions,,IMF,2,2,2,2,1,1,1,..,1,6,11,5,12,13,26,26,5,9,10,8,14,3,9,2,1,0.4,1.4,7,
230,0,230-0,ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,3.4,230-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,30,30,48,51,57,80,50,55,63,59,..,..,..,..,139,..,..,..,..,..,..,461,364,613,661,323,642,529,
230,3.5,230-3.5,,,Travel,,,US$ Millions,,IMF,25,25,40,46,51,74,44,45,50,58,77,97,107,156,138,147,172,181,214,283,372,461,356,612,661,322,640,529,
230,3.6,230-3.6,,,Passenger transport,,,US$ Millions,,IMF,5,5,8,5,6,6,6,10,13,1,..,..,..,..,1,..,..,..,..,..,..,0,8,1,0,1,2,0,
242,0,242-0,FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,3.4,242-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,82,88,87,67,82,96,84,79,88,118,132,113,106,108,108,102,116,110,105,99,115,119,138,160,174,77,74,161,
242,3.5,242-3.5,,,Travel,,,US$ Millions,,IMF,64,70,69,52,66,83,65,55,70,94,106,101,92,93,95,88,98,91,91,89,104,109,128,149,165,75,74,160,
242,3.6,242-3.6,,,Passenger transport,,,US$ Millions,,IMF,18,18,18,15,16,13,19,24,18,24,26,12,14,15,13,14,18,19,14,10,11,10,10,11,9,2,1,1,
246,0,246-0,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,3.4,246-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"2,853","2,760","2,541","2,565","2,525","2,293","2,442","2,440","2,956","3,385","3,620","4,099","4,812","5,577","5,236","5,268","6,013","5,841","6,387","6,326","5,786","6,199","6,740","7,223","6,841","1,914","1,606","4,937",
246,3.5,246-3.5,,,Travel,,,US$ Millions,,IMF,"2,278","2,285","2,080","2,062","2,035","1,852","1,852","2,008","2,435","2,823","3,056","3,424","3,983","4,544","4,404","4,305","4,882","4,887","5,297","5,305","4,796","5,191","5,610","6,072","5,678","1,646","1,384","4,336",
246,3.6,246-3.6,,,Passenger transport,,,US$ Millions,,IMF,575,475,461,503,490,441,590,432,521,562,564,675,829,"1,033",832,963,"1,131",954,"1,090","1,021",990,"1,008","1,130","1,151","1,163",268,222,601,
250,0,250-0,FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,3.4,250-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,"20,699","22,049",..,..,"31,630","29,016","28,781","30,270","35,807","36,362","38,633","39,319","46,042","50,373","45,087","46,695","55,509","50,068","52,444","58,464","47,713","49,029","53,787","59,131","59,754","31,446","38,957","47,822","1/ 1999-2004 source: ""Banque de France""."
250,3.5,250-3.5,,,Travel,,,US$ Millions,,IMF,"16,358","17,748","17,490","18,819","25,204","22,537","22,611","23,779","28,075","29,469","31,347","32,347","37,898","40,928","36,991","38,297","44,725","39,836","42,183","48,777","39,521","40,436","44,192","49,464","50,507","28,708","35,898","40,875",
250,3.6,250-3.6,,,Passenger transport,,,US$ Millions,1/,IMF,"4,341","4,301",..,..,"6,426","6,479","6,170","6,491","7,732","6,893","7,286","6,972","8,144","9,445","8,096","8,398","10,784","10,232","10,261","9,687","8,192","8,593","9,595","9,667","9,247","2,738","3,059","6,947",
254,0,254-0,FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,3.4,254-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
254,3.5,254-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
254,3.6,254-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
258,0,258-0,FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,3.4,258-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,264,335,425,430,..,..,388,339,335,327,300,293,312,277,226,..,..,..,..,..,..,
258,3.5,258-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,180,236,311,312,122,153,159,164,160,168,158,156,169,146,152,152,177,..,..,..,..,
