INDEX,,,2. DOMESTIC TOURISM: Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.19,24-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,90,86,53,94,124,332,397,373,413,496,574,726,376,365,715,741,265,299,719,
24,2.20,24-2.20,,,,Overnights,,Thousands,,..,9,37,7,24,11,11,133,124,87,124,79,118,139,"1,088","1,297","1,251","1,347","1,475","1,810","1,971","1,534","1,470","1,678","1,030",378,554,"1,488",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.21,24-2.21,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,48,47,36,59,28,96,152,251,281,337,369,264,130,111,264,240,196,216,421,
24,2.22,24-2.22,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,34,78,61,72,54,73,41,451,758,688,734,754,992,870,953,835,707,415,257,359,975,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,2.19,660-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,2.20,660-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,2.21,660-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,2.22,660-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.19,28-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,2.20,28-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.21,28-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,2.22,28-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Household Survey on Travel and Tourism (EVyTH) projected to the total resident population.
2/ Hotel Occupancy Survey (EOH)."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.19,32-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,2.20,32-2.20,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"277,046","284,238","260,403","266,614","241,051","264,333","238,463","228,299","121,155","146,627","236,708",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.21,32-2.21,,,,Guests,,Thousands,2/,..,..,..,..,..,..,..,..,..,..,"11,813",..,"15,088","14,674","13,588","14,530","15,248","15,384","14,993","15,078","15,708","15,523","16,763","16,330","16,289","4,669","10,389","16,604",
32,2.22,32-2.22,,,,Overnights,,Thousands,2/,..,..,..,..,..,..,..,..,..,..,"28,569","32,965","35,608","34,278","31,043","34,447","35,992","36,611","35,368","36,096","37,569","37,006","38,521","38,572","38,239","13,313","26,314","42,041",
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.19,51-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,2.20,51-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,468,726,975,"1,200","1,350","1,540","2,583","3,129","3,924","5,875","5,868","6,180","8,034","10,320","10,462","11,760","13,044","13,104","18,540",..,"19,152","19,263",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.21,51-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,2.22,51-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,308,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2.19,533-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,2.20,533-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2.21,533-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,2.22,533-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding private accommodation.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.19,36-2.19,,,,Guests,,Thousands,,..,..,..,..,"31,628","30,612","31,318","32,142","31,521","32,527","31,020","31,863","33,944","32,806","31,155","32,347","33,229","33,258","33,937","37,067","38,505","39,336","42,752","44,390","48,492","25,177","30,856","47,026",
36,2.20,36-2.20,,,,Overnights,,Thousands,,..,..,..,..,"105,524","100,247","102,638","103,484","106,488","107,223","103,003","106,750","114,249","107,749","103,354","105,526","106,579","104,429","104,247","116,368","118,048","123,368","127,202","135,128","146,174","82,037","103,021","151,855",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.21,36-2.21,,,,Guests,,Thousands,,..,..,..,..,"25,687","24,999","25,747","26,005","25,926","26,964","26,196","26,685","28,271","27,387","25,667","26,628","27,513","27,421","27,896","29,635","31,072","31,837","35,251","36,591","40,088","19,102","23,403","37,727",
36,2.22,36-2.22,,,,Overnights,,Thousands,,..,..,..,..,"73,514","71,297","74,146","73,791","75,845","78,959","77,278","77,373","83,008","78,858","73,339","74,840","77,112","74,115","74,742","82,466","83,993","87,120","91,877","99,596","105,157","54,489","69,470","110,503",
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Only paid accommodation; excluding stays at friends and relatives and second homes.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.19,40-2.19,,,,Guests,,Thousands,1/,"7,002","7,006","7,219","7,594","7,990","8,396","8,714","8,749","9,056","9,092","9,385","9,874","10,367","10,681","10,961","11,385","11,617","12,013","12,034","12,265","12,697","13,343","13,619","14,033","14,312","9,939","9,416","13,580",
40,2.20,40-2.20,,,,Overnights,,Thousands,1/,"30,123","28,719","28,513","29,290","30,309","31,153","31,442","31,013","31,619","31,329","31,501","32,130","33,008","33,879","34,443","35,024","35,297","35,964","35,755","35,668","36,425","38,014","38,523","39,390","39,944","31,596","29,599","38,881",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.21,40-2.21,,,,Guests,,Thousands,2/,"4,761","4,856","5,033","5,301","5,620","5,956","6,262","6,286","6,437","6,600","6,896","7,400","7,875","8,119","8,323","8,804","8,966","9,310","9,366","9,574","9,862","10,331","10,576","10,912","11,144","7,236","7,042","10,505",
40,2.22,40-2.22,,,,Overnights,,Thousands,2/,"16,302","15,892","16,088","16,491","17,241","18,031","18,468","18,356","18,667","18,850","19,383","20,278","21,285","21,902","22,273","23,029","23,180","23,762","23,635","23,482","23,941","24,841","24,971","25,559","25,892","19,243","18,166","25,111",
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.19,31-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,2.20,31-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"108,552","117,144","24,261","54,443","67,304",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
