INDEX,,,1. INBOUND TOURISM: Tourism expenditure in the country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
108,1.34,108-1.34,,,Travel,,,US$ Millions,,IMF,1.4,1.2,0.6,0.4,0.7,0.8,0.5,1.1,0.7,1.2,1.5,1.3,1.3,1.3,1.5,1.8,2.5,1.5,2.3,4.1,2.2,1.9,3.0,3.9,..,..,..,..,
108,1.35,108-1.35,,,Passenger transport,,,US$ Millions,,IMF,1.0,0.9,0.8,0.9,0.5,0.6,0.4,0.5,0.5,0.6,0.4,0.3,1.0,0.3,0.2,0.3,1.2,..,..,..,..,..,..,..,..,..,..,..,
132,0,132-0,CABO VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1.33,132-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,29,37,50,45,56,64,77,100,135,153,177,280,375,432,349,387,438,452,483,453,380,397,451,520,567,169,145,400,
132,1.34,132-1.34,,,Travel,,,US$ Millions,,IMF,10,11,15,20,29,41,54,65,87,99,122,209,304,352,286,278,368,394,422,405,347,365,426,488,502,159,145,400,
132,1.35,132-1.35,,,Passenger transport,,,US$ Millions,,IMF,19,26,35,25,27,23,23,35,48,54,55,71,71,80,63,109,70,58,61,48,33,32,25,32,65,10,..,0.2,
116,0,116-0,CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.33,116-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,71,117,99,129,240,345,429,509,441,673,929,"1,109","1,169","1,280","1,463","1,671","2,258","2,663","2,895","3,220","3,419","3,523","4,024","4,832","5,312","1,119",197,"1,529",
116,1.34,116-1.34,,,Travel,,,US$ Millions,,IMF,53,82,68,107,212,304,380,454,389,603,840,992,"1,020","1,101","1,336","1,519","2,084","2,463","2,660","2,953","3,137","3,212","3,639","4,362","4,773","1,023",184,"1,415",
116,1.35,116-1.35,,,Passenger transport,,,US$ Millions,,IMF,18,35,31,22,28,41,49,55,52,70,89,117,149,179,127,152,174,200,235,267,282,311,385,470,539,96,13,114,
120,0,120-0,CAMEROON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1.33,120-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,75,151,119,114,92,132,182,124,266,212,229,231,254,167,271,171,423,377,607,629,476,508,544,633,681,437,554,545,
120,1.34,120-1.34,,,Travel,,,US$ Millions,,IMF,36,104,84,85,60,57,73,62,182,158,175,181,226,156,270,159,409,349,576,595,450,505,525,581,653,437,552,541,
120,1.35,120-1.35,,,Passenger transport,,,US$ Millions,,IMF,39,47,35,29,32,75,109,62,84,54,54,50,28,11,1,12,14,28,31,34,26,3,19,52,28,..,2,4,
124,0,124-0,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1.33,124-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"9,176","10,073","10,390","11,049","12,024","13,035","12,680","12,744","12,236","15,135","15,891","16,837","17,962","18,190","15,580","18,440","19,994",..,..,..,..,..,..,..,..,..,..,..,
124,1.34,124-1.34,,,Travel,,,US$ Millions,,IMF,"7,917","8,607","8,819","9,414","10,203","10,778","10,623","10,687","10,602","13,029","13,655","14,556","15,605","15,667","13,743","15,830","16,839","20,156","20,886","21,580","20,315","22,676","25,083","27,269","29,822","13,612","14,414","24,241",
124,1.35,124-1.35,,,Passenger transport,,,US$ Millions,,IMF,"1,259","1,466","1,571","1,635","1,821","2,257","2,057","2,057","1,634","2,106","2,236","2,281","2,357","2,523","1,837","2,610","3,155",..,..,..,..,..,..,..,..,..,..,..,
136,0,136-0,CAYMAN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1.33,136-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,394,368,501,534,525,559,585,607,518,523,356,509,481,518,458,465,472,489,500,565,680,708,832,911,964,260,46,..,1/ 1995-2015: country data.
136,1.34,136-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,708,793,871,919,251,39,..,
136,1.35,136-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,40,45,9,7,..,
140,0,140-0,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1.33,140-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,CB,4,3,2,4,8,5,5,3,4,8,7,10,11,12,8,14,15,15,28,28,16,22,25,22,22,31,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)"". 2003, 2004, 2009-2013: country data."
140,1.34,140-1.34,,,Travel,,,US$ Millions,1/,CB,..,..,..,..,..,..,..,..,..,6,5,8,8,9,5,11,11,11,24,28,16,21,25,21,21,30,..,..,
140,1.35,140-1.35,,,Passenger transport,,,US$ Millions,1/,CB,..,..,..,..,..,..,..,..,..,1,2,2,2,3,3,3,4,4,4,..,..,1,1,1,1,1,..,..,
148,0,148-0,CHAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1.33,148-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,CB,43,22,22,15,15,14,23,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
148,1.34,148-1.34,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
148,1.35,148-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
152,0,152-0,CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1.33,152-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"1,186","1,209","1,401","1,431","1,243","1,179","1,184","1,221","1,309","1,571","1,608","1,853","2,224","2,481","2,380","2,362","2,723","3,185","3,192","3,221","3,428","3,762","4,136","3,937","3,316",841,535,"1,907",
152,1.34,152-1.34,,,Travel,,,US$ Millions,,IMF,911,931,"1,103","1,105",911,819,799,898,883,"1,095","1,001","1,149","1,453","1,594","1,613","1,552","1,813","2,177","2,202","2,278","2,497","2,683","3,152","2,897","2,302",413,113,"1,024",
152,1.35,152-1.35,,,Passenger transport,,,US$ Millions,,IMF,275,278,298,326,332,360,385,323,426,476,607,704,771,887,767,810,910,"1,008",990,943,931,"1,079",984,"1,040","1,014",428,422,883,
156,0,156-0,CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1.33,156-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,"12,626","13,229","15,006","17,318","19,006","21,742","18,707","27,755",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
156,1.34,156-1.34,,,Travel,,,US$ Millions,,IMF,"8,730","10,200","12,074","12,602","14,098","16,231","17,792","20,385","17,406","25,739","29,296","33,949","37,233","40,843","39,675","45,814","48,464","50,028","51,664","44,044","44,969","44,432","38,559","40,386","35,832","9,951","11,330","9,583",
156,1.35,156-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,552,627,908,"1,087","1,214","1,357","1,301","2,016",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
170,0,170-0,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.33,170-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,887,"1,362","1,315","1,216","1,231","1,313","1,483","1,237","1,191","1,535","1,891","2,370","2,616","2,966","3,080","3,473","3,841","4,409","4,819","4,941","5,281","5,631","5,899","6,655","6,784","1,932","3,239","7,321",
170,1.34,170-1.34,,,Travel,,,US$ Millions,,IMF,657,"1,120","1,043",928,927,"1,030","1,217",967,893,"1,227","1,539","1,915","1,993","2,342","2,440","2,797","3,010","3,460","3,611","3,825","4,245","4,522","4,921","5,621","5,682","1,568","2,741","6,223",
170,1.35,170-1.35,,,Passenger transport,,,US$ Millions,,IMF,230,242,272,288,304,283,266,270,298,308,352,455,623,624,640,676,831,949,"1,208","1,116","1,036","1,109",978,"1,034","1,102",364,498,"1,098",
174,0,174-0,COMOROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1.33,174-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,22,23,26,16,19,15,9,11,16,21,24,27,30,37,32,35,42,39,..,63,52,51,61,74,73,19,72,85,1/ 1995-2004: Banque centrale des Comores.
174,1.34,174-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,24,27,30,37,32,35,42,39,..,62,51,50,60,73,72,18,71,84,
174,1.35,174-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.3,..,0.8,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.7,
178,0,178-0,CONGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1.33,178-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,15,11,..,..,14,12,23,26,30,23,..,..,31,37,85,39,47,68,52,57,47,43,..,..,34,6,..,..,
178,1.34,178-1.34,,,Travel,,,US$ Millions,,IMF,14,11,10,9,13,12,22,25,29,22,40,45,27,32,77,27,38,63,52,55,46,41,..,..,18,4,..,..,
178,1.35,178-1.35,,,Passenger transport,,,US$ Millions,,IMF,0.7,0.0,..,..,0.5,0.4,0.6,0.6,1.0,1.1,..,..,4,5,8,12,9,5,0.4,1.9,0.9,1.9,..,..,16,2,..,..,
180,0,180-0,"CONGO, DEMOCRATIC REPUBLIC OF THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.33,180-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
180,1.34,180-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,3,3,1,1,24,11,11,7,8,45,0.1,4,6,61,100,81,108,..,
180,1.35,180-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,0,184-0,COOK ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1.33,184-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,country,28,50,35,34,39,36,38,46,69,72,91,90,107,105,103,111,120,129,138,187,173,202,230,234,228,37,43,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
184,1.34,184-1.34,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,1.35,184-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
188,0,188-0,COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1.33,188-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,763,797,860,"1,038","1,256","1,629","1,480","1,429","1,573","1,755","2,008","2,066","2,454","2,811","2,216","2,426","2,646","2,773","3,171","3,137","3,408","3,776","3,758","4,073","4,339","1,464","1,834","3,256",
188,1.34,188-1.34,,,Travel,,,US$ Millions,,IMF,681,710,742,914,"1,098","1,454","1,314","1,298","1,442","1,628","1,869","1,908","2,259","2,561","2,030","2,246","2,423","2,529","2,928","2,996","3,266","3,648","3,656","3,769","3,988","1,328","1,717","3,137",
188,1.35,188-1.35,,,Passenger transport,,,US$ Millions,,IMF,82,87,118,124,158,175,166,131,131,127,139,158,195,250,186,180,223,244,243,141,142,128,102,304,351,136,117,118,
384,0,384-0,COTE D´IVOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1.33,384-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,103,107,103,111,107,53,58,56,76,91,93,104,115,129,164,213,186,173,191,195,214,477,509,551,550,199,315,..,
384,1.34,384-1.34,,,Travel,,,US$ Millions,,IMF,89,93,90,98,100,49,53,51,69,82,83,93,103,116,151,201,180,172,181,184,158,379,397,443,448,166,254,..,
384,1.35,384-1.35,,,Passenger transport,,,US$ Millions,,IMF,14,14,13,13,7,4,5,5,7,9,10,11,12,13,13,12,6,1,10,11,56,98,112,108,102,33,61,..,
191,0,191-0,CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1.33,191-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,..,..,..,..,"2,595",..,..,..,..,..,..,..,..,..,..,..,..,..,"8,332","8,929","8,194","9,213","10,524","11,344","11,971","5,551","10,891","13,628","1/  The expenditure figures are those provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
191,1.34,191-1.34,,,Travel,,,US$ Millions,,IMF,"1,349","2,014","2,523","2,733","2,493","2,750","3,330","3,807","5,001","5,686","6,196","7,073","8,583","9,631","7,801","7,225","8,330","8,683","8,129","8,713","8,009","9,026","10,310","11,123","11,750","5,488","10,770","13,436",
191,1.35,191-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,102,..,..,..,..,..,..,..,..,..,..,..,..,..,203,216,185,187,214,221,221,63,121,192,
192,0,192-0,CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1.33,192-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,country,"1,100","1,333","1,515","1,759","1,901","1,948","1,840","1,769","1,999","2,114","2,591","2,414","2,415","2,535","2,249","2,396","2,503","2,614","2,608","2,546","2,819","3,069","3,302","2,783","2,645","1,152",417,"1,050","1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
192,1.34,192-1.34,,,Travel,,,US$ Millions,1/,country,963,"1,171","1,311","1,556","1,695","1,737","1,692","1,633","1,846","1,915","2,322","2,127","2,141","2,258","2,051","2,187","2,283","2,326","2,325","2,367","2,601","2,907","3,186","2,703","2,596","1,137",404,"1,037",
192,1.35,192-1.35,,,Passenger transport,,,US$ Millions,1/,country,137,162,204,203,206,211,148,136,153,199,269,287,274,277,198,209,220,288,283,179,218,162,116,80,49,15,13,13,
535,0,535-0,CURAÇAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,1.33,535-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,175,186,201,261,260,227,271,217,223,224,244,277,329,383,378,438,540,676,778,820,712,644,572,604,706,282,553,995,1/ 1995-2006 source: Central Bank of the Netherlands Antilles.
535,1.34,535-1.34,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,327,378,361,385,453,543,583,635,607,573,551,593,703,281,550,988,
535,1.35,535-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,2,5,17,53,87,133,195,185,105,71,21,11,3,1,3,7,
196,0,196-0,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1.33,196-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"2,018","1,905","1,850","1,918","2,115","2,137","2,203","2,178","2,325","2,552","2,644","2,692","3,107","3,232","2,476","2,137","2,603","2,603","2,930","2,924","2,526","2,870","3,274","3,449","3,251",734,"2,090","2,835",
196,1.34,196-1.34,,,Travel,,,US$ Millions,,IMF,"1,798","1,681","1,659","1,718","1,911","1,941","1,993","1,959","2,097","2,241","2,318","2,382","2,685","2,780","2,199","2,137","2,603","2,603","2,930","2,924","2,524","2,870","3,274","3,449","3,251",734,"2,090","2,835",
196,1.35,196-1.35,,,Passenger transport,,,US$ Millions,,IMF,220,224,191,200,204,196,210,219,228,311,326,310,422,452,277,..,..,..,..,..,2,..,..,..,..,..,..,..,
203,0,203-0,CZECH REPUBLIC (CZECHIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1.33,203-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,"3,376","4,069","4,931","5,772","6,702","7,803","9,228","8,164","8,068","8,930","8,174","7,792","7,614","6,766","7,041","7,695","8,283","7,967","3,853","3,358","5,283",
203,1.34,203-1.34,,,Travel,,,US$ Millions,,IMF,"2,880","4,079","3,620","3,894","3,153","2,973","3,104","2,964","3,566","4,187","4,813","5,884","6,943","8,214","7,241","7,172","8,096","7,456","7,042","6,822","6,056","6,308","6,970","7,446","7,302","3,595","3,085","5,028",
203,1.35,203-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,412,503,744,959,818,860,"1,014",923,896,834,718,750,792,710,733,725,837,665,258,273,255,
208,0,208-0,DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1.33,208-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source from 2005: VisitDenmark.
208,1.34,208-1.34,,,Travel,,,US$ Millions,1/,IMF,"3,691","3,420","3,156","3,236","3,698","3,671","4,003","4,791","5,271","5,652","5,293","5,562","5,978","6,281","5,617","5,704","6,366","6,135","6,490","7,617","6,685","7,494","8,508","9,107","8,650","3,966","4,473","8,912",
208,1.35,208-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
262,0,262-0,DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1.33,262-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
262,1.34,262-1.34,,,Travel,,,US$ Millions,,IMF,5,5,4,9,8,8,9,9,7,7,7,10,7,8,16,18,19,21,22,25,40,39,36,57,63,30,38,46,
262,1.35,262-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
212,0,212-0,DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1.33,212-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
212,1.34,212-1.34,,,Travel,,,US$ Millions,,IMF,42,44,48,47,51,48,46,46,52,61,57,72,74,76,77,94,106,76,82,216,202,197,161,88,135,30,23,91,
212,1.35,212-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
214,0,214-0,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.33,214-1.33,,Tourism expenditure in the country,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
214,1.34,214-1.34,,,Travel,,,US$ Millions,,IMF,"1,571","1,781","2,099","2,153","2,483","2,860","2,798","2,730","3,128","3,152","3,518","3,917","4,064","4,166","4,049","4,162","4,391","4,687","5,055","5,630","6,116","6,720","7,184","7,548","7,472","2,675","5,697","8,406",
214,1.35,214-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
218,0,218-0,ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.33,218-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,315,330,335,330,377,451,438,449,408,464,488,492,626,745,674,786,849,"1,039","1,251","1,487","1,557","1,729","2,018","2,279","2,194",704,"1,060","1,802",
218,1.34,218-1.34,,,Travel,,,US$ Millions,,IMF,255,281,290,291,343,402,430,447,406,462,486,490,623,742,670,781,843,"1,033","1,246","1,482","1,551","1,723","2,012","2,272","2,188",701,"1,055","1,793",
218,1.35,218-1.35,,,Passenger transport,,,US$ Millions,,IMF,60,49,45,39,34,49,8,2,2,2,2,2,3,3,4,5,6,6,5,5,6,6,6,7,6,3,5,9,
818,0,818-0,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1.33,818-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"2,954","3,583","4,046","2,942","4,361","4,657","4,119","4,133","4,704","6,328","7,206","8,133","10,327","12,104","11,757","13,633","9,333","10,823","6,747","7,979","6,897","3,306","8,636","12,704","14,256","4,874","9,499","13,625",
818,1.34,818-1.34,,,Travel,,,US$ Millions,,IMF,"2,684","3,204","3,727","2,565","3,903","4,345","3,800","3,764","4,584","6,125","6,851","7,591","9,303","10,985","10,755","12,528","8,707","9,940","6,047","7,208","6,065","2,645","7,775","11,615","13,030","4,398","8,895","12,245",
818,1.35,818-1.35,,,Passenger transport,,,US$ Millions,,IMF,270,379,319,377,458,312,319,369,120,203,355,542,"1,024","1,119","1,002","1,105",626,883,700,771,832,661,861,"1,089","1,226",476,604,"1,380",
222,0,222-0,EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.33,222-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,152,155,..,..,408,437,452,521,664,748,656,686,793,711,549,646,729,900,"1,054","1,285","1,203","1,161","1,227","1,370","1,664",755,"1,225","2,235",
222,1.34,222-1.34,,,Travel,,,US$ Millions,,IMF,85,86,149,206,222,217,201,245,382,453,361,382,482,425,319,390,415,558,621,821,817,829,873,"1,014","1,306",636,993,"1,864",
222,1.35,222-1.35,,,Passenger transport,,,US$ Millions,,IMF,67,69,..,..,186,220,251,276,282,295,295,304,311,286,230,256,314,342,433,464,386,332,354,356,358,119,232,371,
226,0,226-0,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.33,226-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,CB,1,4,5,0.4,10,5,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
226,1.34,226-1.34,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
226,1.35,226-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,0,232-0,ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.33,232-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,country,58,69,90,34,28,36,74,73,74,73,66,60,61,46,26,..,..,..,..,..,..,48,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
232,1.34,232-1.34,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,1.35,232-1.35,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
233,0,233-0,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.33,233-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,452,565,597,668,702,657,661,737,883,"1,111","1,229","1,361","1,416","1,643",..,..,..,..,"2,022","2,278","1,893","1,911","2,124","2,326","2,304",833,904,"1,630",
233,1.34,233-1.34,,,Travel,,,US$ Millions,,IMF,357,484,473,539,549,508,507,555,671,887,971,"1,024","1,036","1,193","1,090","1,065","1,256","1,286","1,626","1,864","1,493","1,537","1,659","1,779","1,736",595,633,"1,269",
233,1.35,233-1.35,,,Passenger transport,,,US$ Millions,,IMF,95,81,124,129,153,149,154,182,212,224,258,337,380,450,..,..,..,..,396,414,400,374,465,547,568,238,271,361,
748,0,748-0,ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1.33,748-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,54,42,44,51,15,24,23,45,70,75,77,75,32,26,40,51,10,29,4,16,14,13,13,16,14,7,8,12,
748,1.34,748-1.34,,,Travel,,,US$ Millions,,IMF,48,38,40,47,12,21,21,43,70,75,77,75,32,26,40,51,10,29,4,15,14,13,13,16,14,7,8,11,
748,1.35,748-1.35,,,Passenger transport,,,US$ Millions,,IMF,6,4,4,4,3,3,2,2,0.04,0.1,0.3,0.1,0.2,0.3,0.1,0.4,0.1,0.1,0.2,0.6,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.8,
230,0,230-0,ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.33,230-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,177,170,157,152,176,205,218,261,336,458,533,639,790,"1,184","1,119","1,434","2,010","1,981","2,236","2,108","2,279","2,138","2,505","3,548","3,529","2,282","2,601","3,883",
230,1.34,230-1.34,,,Travel,,,US$ Millions,,IMF,16,23,22,37,47,57,51,72,114,174,168,162,176,377,329,522,770,607,586,352,405,347,436,968,786,"1,033",965,"1,175",
230,1.35,230-1.35,,,Passenger transport,,,US$ Millions,,IMF,161,147,135,115,129,148,167,189,222,284,365,477,614,807,790,912,"1,240","1,374","1,650","1,756","1,874","1,791","2,069","2,580","2,743","1,249","1,636","2,709",
242,0,242-0,FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.33,242-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,369,374,386,309,365,291,316,384,496,588,722,684,722,952,688,825,957,989,966,"1,091","1,094","1,149","1,243","1,370","1,345",237,66,"1,069",
242,1.34,242-1.34,,,Travel,,,US$ Millions,,IMF,291,298,317,248,280,189,205,260,345,423,485,480,499,658,503,635,725,730,717,809,817,878,942,969,962,151,35,686,
242,1.35,242-1.35,,,Passenger transport,,,US$ Millions,,IMF,78,76,69,61,85,102,111,124,151,165,237,204,223,294,185,190,232,259,249,282,277,271,301,401,383,86,31,383,
246,0,246-0,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1.33,246-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"2,383","2,408","2,358","2,371","2,236","2,035","2,066","2,238","2,679","2,977","3,069","3,515","4,287","4,875","4,072","4,496","5,615","5,418","5,774","5,409","4,011","4,017","5,210","5,762","5,944","1,757","1,541","3,557",
