INDEX,,,1. INBOUND TOURISM: Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.19,214-1.19,,,Total,,,Thousands,,VF,"1,806","2,037","2,482","2,702","2,932","3,161","3,090","3,058","3,680","3,907","3,981","4,268","4,365","4,455","4,489","4,478","4,654","4,901","5,114","5,576","6,129","6,769","7,296","7,551","7,550","2,748","5,327","8,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.20,214-1.20,,,,Air,,Thousands,,,"1,776","1,926","2,211","2,309","2,649","2,978","2,882","2,811","3,282","3,450","3,691","3,965","3,980","3,980","3,992","4,125","4,306","4,563","4,690","5,141","5,600","5,959","6,188","6,569","6,446","2,405","4,994","7,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.21,214-1.21,,,,Water,,Thousands,,,30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809,"1,108",982,"1,104",343,333,"1,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.22,214-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0,218-0,ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.19,218-1.19,,,Total,,,Thousands,1/,VF,439,494,530,511,517,628,641,683,761,819,860,840,937,"1,005",968,"1,047","1,141","1,272","1,364","1,695","1,676","1,569","1,806","2,535","2,108",507,669,"1,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.20,218-1.20,,,,Air,,Thousands,,,281,307,348,353,343,383,422,432,450,496,540,557,639,714,699,750,783,848,959,"1,187","1,177","1,102","1,138","1,193","1,221",395,651,"1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.21,218-1.21,,,,Water,,Thousands,,,9,11,9,10,6,5,5,6,5,8,5,4,7,9,8,8,21,27,12,64,65,62,55,44,50,10,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.22,218-1.22,,,,Land,,Thousands,,,149,176,173,148,168,240,214,245,306,315,315,279,291,282,261,289,337,396,393,443,435,406,612,"1,298",838,103,15,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,0,818-0,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1.19,818-1.19,,,Total,,,Thousands,,VF,"2,871","3,528","3,657","3,213","4,489","5,116","4,347","4,906","5,746","7,795","8,244","8,646","10,610","12,296","11,914","14,051","9,497","11,196","9,174","9,628","9,139","5,258","8,157","11,196","12,876","3,619","7,967","11,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1.20,818-1.20,,,,Air,,Thousands,,,"2,076","2,581","2,745","2,281","3,542","4,210","3,790","4,280","4,841","6,736","7,210","7,611","9,436","10,960","10,773","12,616","8,159","9,852","8,237","9,010","8,521","4,594","7,300","9,976","11,317","3,269","7,342","10,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1.21,818-1.21,,,,Water,,Thousands,,,91,205,174,144,148,173,160,151,157,178,235,223,268,287,243,278,185,235,233,126,100,93,91,100,100,14,33,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1.22,818-1.22,,,,Land,,Thousands,,,705,742,738,788,800,733,397,475,749,881,800,812,906,"1,049",898,"1,158","1,153","1,109",703,492,518,571,765,"1,120","1,459",336,592,"1,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0,222-0,EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.19,222-1.19,,,Total,,,Thousands,,TF,235,283,387,541,658,795,735,799,720,951,"1,127","1,279","1,339","1,385","1,091","1,149","1,184","1,255","1,283","1,345","1,402","1,434","1,556","1,677","1,766",549,"1,219","1,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.20,222-1.20,,,,Air,,Thousands,,,154,164,206,189,230,234,224,253,262,449,499,483,527,490,430,426,470,541,589,591,599,616,643,727,773,293,813,"1,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.21,222-1.21,,,,Water,,Thousands,,,..,..,..,..,5,5,6,5,1,1,1,1,1,3,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.22,222-1.22,,,,Land,,Thousands,,,81,119,181,352,423,556,505,541,457,501,627,795,811,892,661,723,714,714,694,754,803,818,913,950,993,256,406,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0,226-0,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.19,226-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.20,226-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.21,226-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.22,226-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0,232-0,ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.19,232-1.19,,,Total,,,Thousands,1/,VF,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.20,232-1.20,,,,Air,,Thousands,,,56,58,62,35,26,34,59,51,49,51,45,35,38,38,35,40,42,79,48,45,32,84,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.21,232-1.21,,,,Water,,Thousands,,,5,3,5,2,3,3,2,2,2,2,1,2,2,1,..,..,..,1,1,1,1,1,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.22,232-1.22,,,,Land,,Thousands,,,254,356,343,151,28,33,52,48,29,34,37,41,41,31,44,44,65,49,92,73,81,57,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,0,233-0,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.19,233-1.19,,,Total,,,Thousands,,VF,"2,110","2,444","2,618","2,909",..,"3,310","3,230","3,253","3,377",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.20,233-1.20,,,,Air,,Thousands,,,105,130,135,150,..,149,152,161,185,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.21,233-1.21,,,,Water,,Thousands,,,"1,585","1,735","1,770","1,900",..,"2,221","2,143","2,212","2,193",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.22,233-1.22,,,,Land,,Thousands,,,420,579,713,859,..,940,935,880,999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,0,748-0,ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1.19,748-1.19,,,Total,,,Thousands,,VF,299,"1,337","1,635",986,"1,253","1,151","1,312","1,371","1,543",..,"1,182","1,200","1,230","1,186","1,344","1,342","1,328","1,279","1,299","1,325","1,256","1,279","1,343","1,277","1,226",345,211,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1.20,748-1.20,,,,Air,,Thousands,,,23,22,20,21,17,20,13,14,17,..,22,22,27,27,26,25,22,23,22,16,20,20,20,20,19,11,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1.21,748-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1.22,748-1.22,,,,Land,,Thousands,,,276,"1,315","1,615",965,"1,236","1,131","1,299","1,357","1,526",..,"1,160","1,178","1,203","1,159","1,318","1,317","1,306","1,256","1,277","1,308","1,236","1,258","1,323","1,258","1,207",334,199,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0,230-0,ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals through all ports of entry; including nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.19,230-1.19,,,Total,,,Thousands,1/,TF,103,109,139,112,115,136,148,156,180,184,227,330,358,383,427,468,523,596,681,770,864,871,933,849,812,271,518,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.20,230-1.20,,,,Air,,Thousands,,,103,109,115,91,92,109,116,131,160,173,193,290,312,330,371,403,450,513,661,749,839,845,906,834,768,257,475,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.21,230-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.22,230-1.22,,,,Land,,Thousands,,,..,..,24,21,23,27,32,25,20,11,34,40,46,53,56,65,73,83,20,22,25,25,27,16,44,14,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,0,242-0,FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.19,242-1.19,,,Total,,,Thousands,1/,TF,336,419,441,371,410,294,348,398,430,..,545,549,540,585,542,632,675,661,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.20,242-1.20,,,,Air,,Thousands,,,313,396,424,365,404,287,342,390,422,..,537,538,527,570,528,613,654,642,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.21,242-1.21,,,,Water,,Thousands,,,23,23,17,6,6,7,6,8,8,..,8,11,13,15,14,19,21,19,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.22,242-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,0,246-0,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Border Interview survey. Note: the survey was cancelled at the end of 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1.19,246-1.19,,,Total,,,Thousands,1/,VF,..,..,..,"3,432","3,363","3,789","4,252","4,687","4,527","4,854","5,038","5,345","5,736","6,072","5,695","6,182","7,260","7,636",..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1.20,246-1.20,,,,Air,,Thousands,,,..,..,..,"1,222","1,208","1,427","1,558","1,603","1,577","1,640","1,734","1,999","2,049","2,265","2,036","2,214","2,533","2,434",..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1.21,246-1.21,,,,Water,,Thousands,,,..,..,..,"1,247","1,104","1,218","1,241","1,362","1,287","1,449","1,538","1,593","1,694","1,637","1,606","1,580","1,722","1,865",..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1.22,246-1.22,,,,Land,,Thousands,,,..,..,..,963,"1,051","1,144","1,453","1,722","1,663","1,765","1,766","1,753","1,993","2,170","2,053","2,388","3,005","3,337",..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0,250-0,FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 1985-2003: estimates based on surveys at national borders.
From 2004 source: DGE, Banque de France. Non resident visitor survey (EVE) - results 2018 provisional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.19,250-1.19,,,Total,,,Thousands,1/,TF,..,"62,405","66,591",..,..,..,"75,202",..,..,"74,433","74,988","77,916","80,852","79,218","76,764","76,647","80,499","81,980","83,634","83,701","84,452","82,682","86,758","89,322","90,914",..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.20,250-1.20,,,,Air,,Thousands,,,..,"9,136","9,670",..,..,..,"11,574",..,..,"14,882","16,325","17,825","20,710","21,895","19,520","18,594","21,190","22,233","23,581","23,670","26,327","26,350","27,509","28,880","29,395",..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.21,250-1.21,,,,Water,,Thousands,,,..,"4,527","4,990",..,..,..,"4,470",..,..,"7,558","7,488","7,793","7,675","7,309","6,962","7,056","6,652","6,095","6,677","5,256","5,607","5,094","5,814","5,775","5,878",..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.22,250-1.22,,,,Land,,Thousands,,,..,"48,742","51,931",..,..,..,"59,158",..,..,"51,993","51,175","52,298","52,467","50,014","50,282","50,998","52,656","53,652","53,376","54,775","52,518","51,238","53,435","54,667","55,641",..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,0,254-0,FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Survey at Cayenne-Rochambeau airport on departure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.19,254-1.19,,,Total,,,Thousands,1/,TF,..,..,..,..,..,..,65,65,..,..,..,..,..,..,..,..,..,..,..,..,87,96,111,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.20,254-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,65,65,..,..,..,..,..,..,..,..,..,..,..,..,87,96,111,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.21,254-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.22,254-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,0,258-0,FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1.19,258-1.19,,,Total,,,Thousands,,TF,172,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199,216,237,77,83,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1.20,258-1.20,,,,Air,,Thousands,,,166,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199,216,237,77,83,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1.21,258-1.21,,,,Water,,Thousands,,,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1.22,258-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,0,266-0,GABON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.19,266-1.19,,,Total,,,Thousands,,TF,125,145,167,195,178,155,169,208,222,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.20,266-1.20,,,,Air,,Thousands,,,125,145,167,195,178,155,169,208,222,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.21,266-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.22,266-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,0,270-0,GAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1.19,270-1.19,,,Total,,,Thousands,1/,TF,45,77,85,91,96,79,57,81,89,459,460,614,488,643,142,91,106,157,171,156,449,450,522,552,620,246,332,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1.20,270-1.20,,,,Air,,Thousands,,,45,77,85,91,96,79,57,81,89,90,108,125,143,147,142,91,106,157,171,156,135,161,162,209,236,89,102,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1.21,270-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,7,5,3,..,..,..,..,..,..,..,..,17,15,12,11,13,9,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1.22,270-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,362,347,486,345,496,..,..,..,..,..,..,297,274,348,332,371,148,218,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,0,268-0,GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1.19,268-1.19,,,Total,,,Thousands,,VF,85,117,313,317,384,387,302,298,313,367,560,983,"1,051","1,290","1,500","2,032","2,712","4,106","4,954","5,004","5,256","5,393","6,483","7,203","7,726","1,513","1,721","4,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1.20,268-1.20,,,,Air,,Thousands,,,15,27,200,72,200,72,58,67,73,96,131,179,161,192,199,245,343,431,585,640,738,999,"1,440","1,788","1,829",269,877,"1,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1.21,268-1.21,,,,Water,,Thousands,,,..,..,..,..,..,52,34,40,45,34,..,50,41,48,54,57,47,42,42,41,36,36,32,33,41,13,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1.22,268-1.22,,,,Land,,Thousands,,,70,90,113,245,184,263,210,191,195,237,429,754,849,"1,050","1,247","1,730","2,322","3,633","4,328","4,324","4,482","4,358","5,011","5,383","5,856","1,231",837,"3,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,0,280-0,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Passengers who come from abroad and land at major German airports. Including German tourists and business travelers returning to Germany from abroad. The nationality of the passengers in not reported.
2/ All passengers traveling from a foreign seaport to a German seaport. Including German tourists returning from abroad. The nationality of the passengers in not reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.19,280-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"70,924","75,672","77,771","79,298","88,223","91,924","95,167","101,306","106,185","108,928","28,844","37,417","79,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.20,280-1.20,,,,Air,,Thousands,1/,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"70,924","75,672","77,771","79,298","82,072","85,658","88,747","94,671","99,763","102,244","26,432","34,307","73,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.21,280-1.21,,,,Water,,Thousands,2/,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,151","6,266","6,420","6,635","6,422","6,684","2,412","3,110","6,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.22,280-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,0,288-0,GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.19,288-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.20,288-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.21,288-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.22,288-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0,300-0,GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 1995-2007: Information based on administrative data. From 2008 the information is based on the border survey conducted by the Bank of Greece.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1.19,300-1.19,,,Total,,,Thousands,1/,TF,"10,712","9,782","10,589","11,364","12,606","13,567","14,679","14,918","14,785","14,268","15,937","17,284","16,164","15,939","14,915","15,007","16,427","15,517","17,920","22,033","23,599","24,799","27,194","30,123","31,348","7,374","14,705","27,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
