INDEX,,,1. INBOUND TOURISM: Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/ Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.19,20-1.19,,,Total,,,Thousands,1/,VF,..,..,..,..,"9,422","10,991","11,351","11,507","11,601","11,668","11,049","10,737","10,743","10,194","9,112","8,551","7,983","7,900","7,676","7,797","7,850","8,025","8,152","8,328","8,235","5,207","5,422","8,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.20,20-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.21,20-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.22,20-1.22,,,,Land,,Thousands,,,..,..,..,..,"9,422","10,991","11,351","11,507","11,601","11,668","11,049","10,737","10,743","10,194","9,112","8,551","7,983","7,900","7,676","7,797","7,850","8,025","8,152","8,328","8,235","5,207","5,422","8,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.19,24-1.19,,,Total,,,Thousands,,TF,9,21,45,52,45,50,67,91,107,194,210,121,194,294,366,425,481,528,650,595,592,397,261,218,218,64,64,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.20,24-1.20,,,,Air,,Thousands,,,9,20,44,51,43,48,58,61,83,144,153,120,172,294,366,425,481,528,650,595,592,397,261,218,218,64,64,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.21,24-1.21,,,,Water,,Thousands,,,..,..,..,1,..,..,1,3,3,4,5,..,18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.22,24-1.22,,,,Land,,Thousands,,,..,1,1,..,2,2,8,27,21,46,52,1,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.19,660-1.19,,,Total,,,Thousands,1/,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.20,660-1.20,,,,Air,,Thousands,,,29,28,33,29,29,28,32,30,28,24,32,33,35,27,17,17,18,15,15,14,13,13,13,13,17,5,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.21,660-1.21,,,,Water,,Thousands,,,78,58,81,85,78,84,73,81,81,97,111,134,129,101,95,101,106,114,136,163,173,163,138,74,150,36,21,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.22,660-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad.
2/ Cruise passengers only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.19,28-1.19,,,Total,,,Thousands,,VF,418,472,497,540,536,634,602,508,608,769,712,838,935,863,944,788,848,819,777,771,894,874,"1,040","1,064","1,035",276,250,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.20,28-1.20,,,,Air,,Thousands,1/,,191,202,211,204,208,207,193,198,224,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125,169,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.21,28-1.21,,,,Water,,Thousands,2/,,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.22,28-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.19,32-1.19,,,Total,,,Thousands,1/,TF,..,..,..,..,..,"2,909","2,620","2,820","2,996","3,457","3,823","4,173","4,562","4,700","4,307","6,800","6,703","6,497","6,510","7,165","6,816","6,668","6,711","6,942","7,399","2,090",297,"3,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.20,32-1.20,,,,Air,,Thousands,,,..,..,..,..,..,"1,192",998,928,"1,227","1,666","2,069","2,279","2,566","2,586","2,220","2,865","2,885","2,764","2,530","2,609","2,426","2,390","2,567","2,760","3,065",694,211,"1,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.21,32-1.21,,,,Water,,Thousands,,,..,..,..,..,..,389,300,275,339,274,318,391,453,492,457,"1,031","1,012",974,"1,048",997,"1,003","1,019","1,033","1,037","1,095",358,28,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.22,32-1.22,,,,Land,,Thousands,,,..,..,..,..,..,"1,328","1,322","1,617","1,430","1,517","1,436","1,503","1,543","1,622","1,630","2,903","2,806","2,760","2,933","3,559","3,387","3,259","3,112","3,145","3,239","1,037",58,"1,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.19,51-1.19,,,Total,,,Thousands,,TF,12,13,23,32,41,45,124,162,206,262,318,381,511,558,575,683,758,963,"1,084","1,204","1,192","1,260","1,495","1,652","1,894",375,870,"1,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.20,51-1.20,,,,Air,,Thousands,,,11,12,20,29,36,39,107,135,173,196,225,270,344,371,382,460,503,564,618,701,693,740,766,806,980,199,649,"1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.21,51-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.22,51-1.22,,,,Land,,Thousands,,,1,1,3,3,5,6,17,27,33,66,93,111,167,187,193,223,255,399,466,503,499,519,729,846,914,176,222,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
