INDEX,,,2. DOMESTIC TOURISM: Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,,,Trips,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Household Survey on Travel and Tourism (EVyTH) projected to the total resident population.
32,2.1,32-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"38,850",..,..,..,..,..,"116,812","116,957","101,870","92,526","101,857","96,595","89,921","89,509","36,698","69,205","113,132",
32,2.2,32-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"20,706",..,..,..,..,..,"52,972","53,681","50,270","45,481","43,399","51,438","45,498","45,349","19,466","30,265","50,331",
32,2.3,32-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"18,144",..,..,..,..,..,"63,839","63,277","51,600","47,046","58,458","45,157","44,423","44,160","17,232","38,939","62,802",
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.1,51-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,2.2,51-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,447,436,565,489,515,670,860,871,980,"1,087","1,092","1,545","1,045","1,596","1,930",
51,2.3,51-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2.1,533-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,2.2,533-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,2.3,533-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.1,36-2.1,,,Total trips,,,Thousands,,..,..,..,..,"243,920","235,235","220,593","217,472","212,681","203,869","200,044","208,028","223,980","210,754","215,846","225,239","233,127","248,377","240,118","260,362","269,481","280,325","291,797","310,166","365,797","236,706","242,543","309,626",
36,2.2,36-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,"72,981","73,771","74,585","75,339","73,621","74,301","69,924","73,564","74,464","72,009","67,670","69,297","71,895","74,472","75,796","84,481","87,523","90,742","98,484","104,822","117,448","72,514","82,074","108,212",
36,2.3,36-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,"170,939","161,464","146,008","142,133","139,060","129,568","130,120","134,464","149,516","138,745","148,176","155,942","161,232","173,905","164,322","175,881","181,958","189,583","193,313","205,344","248,349","164,192","160,469","201,414",
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Holiday and business trips with at least one overnight stay, including stays at friends and relatives and second homes."
40,2.1,40-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,2.2,40-2.2,,,,Overnights visitors (tourists),,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,"10,400","11,172","10,228","10,185","10,962","11,730","11,476","11,088","12,027","11,594","12,410","12,936","10,387","10,758","13,420",
40,2.3,40-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
