INDEX,,,2. DOMESTIC TOURISM: Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
108,2.3,108-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
132,0,132-0,CABO VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2.1,132-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
132,2.2,132-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
132,2.3,132-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
116,0,116-0,CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2.1,116-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"7,761","5,828","6,729","7,022","7,563","7,811","8,254","8,519","9,004","9,679","10,642","10,864","11,060","11,320","7,228","4,663","13,934",
116,2.2,116-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
116,2.3,116-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
120,0,120-0,CAMEROON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2.1,120-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"9,550",..,..,..,..,
120,2.2,120-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,432",..,..,..,..,
120,2.3,120-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,118",..,..,..,..,
124,0,124-0,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Until 2017: Travel Survey of Residents of Canada. 2018: change in the methodology. From 2018: National Travel Survey. The data are not comparable with those of previous years.
124,2.1,124-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"208,165","214,559","214,498","227,121","229,158","317,021","316,254","320,266","318,209","315,746","319,315","325,808","278,060","275,418","198,032","202,993","258,831",
124,2.2,124-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"87,327","88,541","87,647","91,386","92,143","105,743","108,393","108,925","108,647","109,805","113,053","115,037","95,445","93,665","68,247","69,461","90,833",
124,2.3,124-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,"120,838","126,017","126,851","135,735","137,016","211,278","207,861","211,342","209,562","205,941","206,262","210,772","182,615","181,753","129,785","133,532","167,998",
136,0,136-0,CAYMAN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2.1,136-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
136,2.2,136-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
136,2.3,136-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
140,0,140-0,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2.1,140-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
140,2.2,140-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
140,2.3,140-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
148,0,148-0,CHAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2.1,148-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,
148,2.2,148-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,11,..,
148,2.3,148-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,
152,0,152-0,CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 2016: change in the methodology. The data are not comparable with those of previous years.
152,2.1,152-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"40,178","41,423","42,867","44,585","44,270","45,806","63,773","73,344","74,459","54,425","68,516","85,879",
152,2.2,152-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"20,740","20,506","21,531","22,823","21,813","22,570","46,016","52,974","53,749","39,323","49,201","61,093",
152,2.3,152-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"19,438","20,917","21,335","21,762","22,457","23,236","17,756","20,370","20,711","15,102","19,315","24,787",
156,0,156-0,CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2.1,156-2.1,,,Total trips,,,Thousands,,"629,000","640,000","644,000","695,000","719,000","744,000","784,000","878,000","870,000","1,102,000","1,212,000","1,394,000","1,610,000","1,712,000","1,902,000","2,103,000","2,641,000","2,957,000","3,262,000","3,611,000","3,990,000","4,435,000","5,010,000","5,539,000","6,005,852","2,879,000","3,246,000","2,530,000",
156,2.2,156-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
156,2.3,156-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
170,0,170-0,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2.1,170-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"99,680","118,013","114,406","120,996","127,544","129,027","132,402","125,122","151,376","162,619","162,535","54,772","89,751","133,260",
170,2.2,170-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
170,2.3,170-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
174,0,174-0,COMOROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2.1,174-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
174,2.2,174-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
174,2.3,174-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
178,0,178-0,CONGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2.1,178-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
178,2.2,178-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
178,2.3,178-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
180,0,180-0,"CONGO, DEMOCRATIC REPUBLIC OF THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2.1,180-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
180,2.2,180-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,574,530,..,..,..,..,..,..,..,
180,2.3,180-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,0,184-0,COOK ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2.1,184-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,2.2,184-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
184,2.3,184-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
188,0,188-0,COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2.1,188-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
188,2.2,188-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
188,2.3,188-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
384,0,384-0,COTE D´IVOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,2.1,384-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,974","2,012","1,006","1,241","1,305",
384,2.2,384-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
384,2.3,384-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
191,0,191-0,CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source: CBS, Survey on Tourist Activity of Population of Republic of Croatia. 2015: provisional data."
191,2.1,191-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"13,637","13,105",..,"14,852","15,088","15,843","16,514","12,195","8,803","6,614","8,166","10,445","6,183","6,974","7,122",
191,2.2,191-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,023","5,738","5,438","6,010","6,056","6,225","5,410","4,040","2,926","2,976","3,197","3,708","3,510","3,278","3,148",
191,2.3,191-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,614","7,367",..,"8,842","9,032","9,618","11,104","8,155","5,877","3,638","4,969","6,737","3,673","3,696","3,974",
192,0,192-0,CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2.1,192-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
192,2.2,192-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
192,2.3,192-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
535,0,535-0,CURAÇAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,2.1,535-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
535,2.2,535-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
535,2.3,535-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
196,0,196-0,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Data from 2012 onwards results from the Survey on Domestic and Outbound Trips of Residents of the Statistical Service of Cyprus, as extracted from the Eurostat website."
196,2.1,196-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,"7,136","7,532","7,846","8,168","8,359",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
196,2.2,196-2.2,,,,Overnights visitors (tourists),,Thousands,1/,..,..,..,..,..,..,..,..,978,"1,085","1,140","1,291","1,352",..,..,..,..,"1,370","1,304","1,297","1,303","1,375","1,393","1,566",..,..,..,..,
196,2.3,196-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,"6,158","6,447","6,706","6,877","7,007",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
203,0,203-0,CZECH REPUBLIC (CZECHIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Domestic and Outbound Tourism Survey and TSA.
203,2.1,203-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
203,2.2,203-2.2,,,,Overnights visitors (tourists),,Thousands,1/,..,..,..,..,..,..,..,..,"29,041","25,834","25,113","24,154","28,481","28,010","27,850","27,614","29,847","26,881","25,499","27,042","23,964","27,040","29,039","27,179","27,478","20,692","22,722","26,149",
203,2.3,203-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
208,0,208-0,DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Eurostat.
208,2.1,208-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"75,407","67,732","67,887","67,066",
208,2.2,208-2.2,,,,Overnights visitors (tourists),,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"21,407","23,590","23,874","24,371","21,743","18,886","11,922","19,089","17,919","20,002","20,694",
208,2.3,208-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"56,318","49,813","47,886","46,372",
262,0,262-0,DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2.1,262-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
262,2.2,262-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
262,2.3,262-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
212,0,212-0,DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2.1,212-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
212,2.2,212-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
212,2.3,212-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
214,0,214-0,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2.1,214-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
214,2.2,214-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
214,2.3,214-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
218,0,218-0,ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2.1,218-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"11,317","11,337","11,598","11,786","11,974","12,162","12,349","12,534","12,719","12,901","4,136","8,530","13,937",
218,2.2,218-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,229","7,389","7,906","7,652","7,982","8,291","8,418","8,545","8,670","8,795","2,895","5,971","9,756",
218,2.3,218-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,088","3,948","3,692","4,134","3,992","3,871","3,931","3,990","4,048","4,107","1,241","2,559","4,181",
818,0,818-0,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,2.1,818-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"22,219","22,769","20,630","20,935","24,468","25,077","25,697",..,..,..,..,..,..,..,
818,2.2,818-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"8,809","9,027","8,180","8,300","9,698","9,931","10,176",..,..,..,..,..,..,..,
818,2.3,818-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"13,410","13,742","12,450","12,635","14,770","15,147","15,521",..,..,..,..,..,..,..,
222,0,222-0,EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2.1,222-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
222,2.2,222-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
222,2.3,222-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
226,0,226-0,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2.1,226-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
226,2.2,226-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
226,2.3,226-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,0,232-0,ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2.1,232-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,2.2,232-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,2.3,232-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
233,0,233-0,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2.1,233-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
233,2.2,233-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,643,885,803,886,"1,926","1,561","1,761","1,734","2,572","2,704","3,254","3,277","4,399","3,486","2,136","2,267","2,640",
233,2.3,233-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
748,0,748-0,ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,2.1,748-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180,185,218,222,234,251,249,237,253,123,141,219,
748,2.2,748-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95,102,108,111,115,139,114,118,128,89,106,130,
748,2.3,748-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,83,110,111,119,112,135,119,125,34,35,89,
230,0,230-0,ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2.1,230-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
230,2.2,230-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
230,2.3,230-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
242,0,242-0,FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2.1,242-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
242,2.2,242-2.2,,,,Overnights visitors (tourists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
242,2.3,242-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
246,0,246-0,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Finnish Travel survey.
246,2.1,246-2.1,,,Total trips,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
246,2.2,246-2.2,,,,Overnights visitors (tourists),,Thousands,1/,..,..,..,..,..,"21,688","23,410","25,961","27,885","29,079","30,931","28,245","30,633","31,091","31,015","34,531","35,561","30,915","30,480","28,850","29,156","29,790","30,160","29,120","29,320","23,340","29,390","27,100",
246,2.3,246-2.3,,,,Same-day visitors (excursionists),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"16,160",..,..,"31,920",..,
